,Date,Value,Days
0,1970-01-01,35.2,0
1,1970-04-01,35.1,90
2,1970-07-01,35.4,181
3,1970-10-01,36.2,273
4,1971-01-01,37.4,365
5,1971-04-01,38.9,455
6,1971-07-01,40.1,546
7,1971-10-01,42.0,638
8,1972-01-03,43.5,732
9,1972-04-03,48.3,823
10,1972-07-03,62.1,914
11,1972-10-02,65.5,1005
12,1973-01-01,63.9,1096
13,1973-04-02,84.4,1187
14,1973-07-02,120.1,1278
15,1973-10-01,103.0,1369
16,1974-01-01,106.7,1461
17,1974-04-01,168.4,1551
18,1974-07-01,154.1,1642
19,1974-10-01,151.8,1734
20,1975-01-01,183.9,1826
21,1975-04-01,177.3,1916
22,1975-07-01,166.5,2007
23,1975-10-01,143.5,2099
24,1976-01-01,140.3,2191
25,1976-04-01,129.2,2282
26,1976-07-01,122.9,2373
27,1976-10-01,116.0,2465
28,1977-01-03,134.5,2559
29,1977-04-01,148.3,2647
30,1977-07-01,142.6,2738
31,1977-10-03,155.5,2832
32,1978-01-02,165.0,2923
33,1978-04-03,183.4,3014
34,1978-07-03,183.3,3105
35,1978-10-02,217.1,3196
36,1978-12-29,226.0,3284
37,1979-01-01,226.0,3287
38,1979-01-02,226.8,3288
39,1979-01-03,218.6,3289
40,1979-01-04,223.15,3290
41,1979-01-05,225.5,3291
42,1979-01-08,223.1,3294
43,1979-01-09,224.0,3295
44,1979-01-10,220.7,3296
45,1979-01-11,220.65,3297
46,1979-01-12,217.6,3298
47,1979-01-15,216.85,3301
48,1979-01-16,220.65,3302
49,1979-01-17,227.25,3303
50,1979-01-18,231.75,3304
51,1979-01-19,230.55,3305
52,1979-01-22,235.0,3308
53,1979-01-23,230.0,3309
54,1979-01-24,236.1,3310
55,1979-01-25,233.85,3311
56,1979-01-26,235.45,3312
57,1979-01-29,235.2,3315
58,1979-01-30,233.5,3316
59,1979-01-31,233.7,3317
60,1979-02-01,229.35,3318
61,1979-02-02,230.3,3319
62,1979-02-05,243.1,3322
63,1979-02-06,244.5,3323
64,1979-02-07,251.6,3324
65,1979-02-08,250.5,3325
66,1979-02-09,246.75,3326
67,1979-02-12,244.25,3329
68,1979-02-13,240.6,3330
69,1979-02-14,240.65,3331
70,1979-02-15,247.75,3332
71,1979-02-16,247.05,3333
72,1979-02-19,248.1,3336
73,1979-02-20,247.0,3337
74,1979-02-21,250.75,3338
75,1979-02-22,252.35,3339
76,1979-02-23,251.0,3340
77,1979-02-26,248.6,3343
78,1979-02-27,247.9,3344
79,1979-02-28,251.3,3345
80,1979-03-01,248.8,3346
81,1979-03-02,248.0,3347
82,1979-03-05,238.15,3350
83,1979-03-06,239.75,3351
84,1979-03-07,242.25,3352
85,1979-03-08,239.2,3353
86,1979-03-09,241.0,3354
87,1979-03-12,240.0,3357
88,1979-03-13,239.1,3358
89,1979-03-14,239.5,3359
90,1979-03-15,240.1,3360
91,1979-03-16,244.0,3361
92,1979-03-19,242.25,3364
93,1979-03-20,242.1,3365
94,1979-03-21,239.9,3366
95,1979-03-22,242.85,3367
96,1979-03-23,242.5,3368
97,1979-03-26,245.25,3371
98,1979-03-27,244.35,3372
99,1979-03-28,244.4,3373
100,1979-03-29,241.5,3374
101,1979-03-30,240.1,3375
102,1979-04-02,239.7,3378
103,1979-04-03,240.0,3379
104,1979-04-04,239.75,3380
105,1979-04-05,240.65,3381
106,1979-04-06,239.75,3382
107,1979-04-09,240.2,3385
108,1979-04-10,239.75,3386
109,1979-04-11,238.35,3387
110,1979-04-12,233.95,3388
111,1979-04-13,233.95,3389
112,1979-04-16,233.95,3392
113,1979-04-17,231.9,3393
114,1979-04-18,233.2,3394
115,1979-04-19,240.9,3395
116,1979-04-20,236.4,3396
117,1979-04-23,236.85,3399
118,1979-04-24,239.7,3400
119,1979-04-25,241.8,3401
120,1979-04-26,242.2,3402
121,1979-04-27,243.7,3403
122,1979-04-30,245.3,3406
123,1979-05-01,247.3,3407
124,1979-05-02,246.3,3408
125,1979-05-03,246.5,3409
126,1979-05-04,248.45,3410
127,1979-05-07,248.45,3413
128,1979-05-08,248.95,3414
129,1979-05-09,247.95,3415
130,1979-05-10,252.25,3416
131,1979-05-11,251.5,3417
132,1979-05-14,251.0,3420
133,1979-05-15,255.5,3421
134,1979-05-16,256.5,3422
135,1979-05-17,256.8,3423
136,1979-05-18,256.4,3424
137,1979-05-21,262.0,3427
138,1979-05-22,265.4,3428
139,1979-05-23,264.15,3429
140,1979-05-24,263.75,3430
141,1979-05-25,270.6,3431
142,1979-05-28,270.6,3434
143,1979-05-29,273.8,3435
144,1979-05-30,270.25,3436
145,1979-05-31,274.6,3437
146,1979-06-01,275.1,3438
147,1979-06-04,272.9,3441
148,1979-06-05,274.75,3442
149,1979-06-06,280.0,3443
150,1979-06-07,276.05,3444
151,1979-06-08,280.0,3445
152,1979-06-11,282.35,3448
153,1979-06-12,277.75,3449
154,1979-06-13,276.6,3450
155,1979-06-14,279.0,3451
156,1979-06-15,280.0,3452
157,1979-06-18,278.0,3455
158,1979-06-19,280.3,3456
159,1979-06-20,281.35,3457
160,1979-06-21,282.3,3458
161,1979-06-22,283.45,3459
162,1979-06-25,283.85,3462
163,1979-06-26,281.45,3463
164,1979-06-27,281.8,3464
165,1979-06-28,275.9,3465
166,1979-06-29,277.5,3466
167,1979-07-02,282.5,3469
168,1979-07-03,281.35,3470
169,1979-07-04,283.5,3471
170,1979-07-05,288.25,3472
171,1979-07-06,290.25,3473
172,1979-07-09,287.85,3476
173,1979-07-10,290.5,3477
174,1979-07-11,290.3,3478
175,1979-07-12,290.75,3479
176,1979-07-13,287.45,3480
177,1979-07-16,292.8,3483
178,1979-07-17,296.3,3484
179,1979-07-18,302.15,3485
180,1979-07-19,299.15,3486
181,1979-07-20,298.75,3487
182,1979-07-23,304.9,3490
183,1979-07-24,305.25,3491
184,1979-07-25,303.35,3492
185,1979-07-26,305.2,3493
